City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Hargeysa,SO,2021-10-03 20:09:48,9.56,44.065,71.24,65,100,8.59
279,Richards Bay,ZA,2021-10-03 20:09:49,-28.783,32.0377,59.52,84,100,5.12
280,Tlyustenkhabl,RU,2021-10-03 20:09:49,44.98,39.0972,53.74,81,75,15.99
281,Buraydah,SA,2021-10-03 20:09:49,26.326,43.975,83.37,12,2,9.31
282,Santa Vitoria Do Palmar,BR,2021-10-03 20:09:50,-33.5189,-53.3681,58.95,63,75,10.22
283,San Cristobal,VE,2021-10-03 20:09:50,7.7669,-72.225,80.78,52,28,6.13
284,Gimli,CA,2021-10-03 20:09:50,50.6336,-96.9907,75.43,43,44,9.06
285,Hitoyoshi,JP,2021-10-03 20:09:51,32.2167,130.75,61.38,97,3,4.32
286,Husavik,IS,2021-10-03 20:09:51,66.0449,-17.3389,43.68,98,100,18.9
287,Paita,PE,2021-10-03 20:09:51,-5.0892,-81.1144,73.96,71,18,19.33
288,Seoul,KR,2021-10-03 20:09:52,37.5683,126.9778,71.04,63,100,3.02
289,Canto Do Buriti,BR,2021-10-03 20:09:52,-8.11,-42.9444,96.69,22,88,6.69
290,Port-Gentil,GA,2021-10-03 20:09:52,-0.7193,8.7815,77.88,85,100,13.22
291,Itanagar,IN,2021-10-03 20:09:53,27.1,93.6167,72.28,97,99,1.9
292,Nago,JP,2021-10-03 20:09:53,26.5881,127.9761,81.03,65,0,17.83
